,open,high,low,close,volume,Close_time,Quote asset volume,number of trades,Taker buy base asset volume,Taker buy quote asset volume,Open_time_GST,MA_1,MA_2,MA_7,MA_15,MA_30,EMA_1,EMA_2,EMA_12,EMA_26,DIF,DEM,OSC
0,179.94000000,184.28000000,179.23000000,183.60000000,259370.12902000,1580601599999,47263178.06678230,124149,125544.78709000,22884938.04605620,2020-02-01 08:00:00,183.6,,,,,183.6,183.6,183.6,183.6,0.0,0.0,0.0
1,183.63000000,193.43000000,179.10000000,188.44000000,552621.13619000,1580687999999,104105613.55878510,222425,280248.03436000,52807627.80381550,2020-02-02 08:00:00,188.43999999999997,186.01999999999998,,,,188.44,187.22999999999996,186.22166666666666,186.1130769230769,0.1085897435897607,0.06032763532764483,0.04826210826211587
2,188.48000000,195.19000000,186.62000000,189.69000000,417175.95781000,1580774399999,79336312.52469230,181726,213868.71408000,40681548.24643290,2020-02-03 08:00:00,189.69,189.065,,,,189.69,188.93307692307687,187.57535796766743,187.3982306554953,0.17712731217213218,0.10819635534587733,0.06893095682625484
3,189.74000000,191.60000000,184.69000000,188.91000000,366389.69686000,1580860799999,68720832.61529370,173353,174776.24193000,32795529.65348510,2020-02-04 08:00:00,188.91000000000003,189.29999999999998,,,,188.91,188.9175,187.9966522988506,187.82085530053402,0.1757969983165708,0.13109630215166782,0.04470069616490299
4,188.91000000,207.61000000,188.19000000,203.78000000,550942.11417000,1580947199999,108659358.53591860,241415,291264.24776000,57410798.32462930,2020-02-05 08:00:00,203.78000000000006,196.345,,,,203.78,198.86677685950417,192.28493145993667,191.52184678141123,0.7630846785254448,0.31909855595157766,0.44398612257386716
5,203.78000000,216.33000000,201.02000000,213.19000000,608240.22330000,1581033599999,127874220.81468680,276196,302771.02677000,63669109.12426110,2020-02-06 08:00:00,213.19000000000003,208.485,,,,213.19,208.4287087912088,197.36596292674113,195.86180505210416,1.5041578746369737,0.64031551933885,0.8638423552981237
6,213.16000000,225.00000000,213.14000000,223.33000000,629361.15466000,1581119999999,138524804.21757590,268274,313125.90630000,68898379.27826870,2020-02-07 08:00:00,223.33000000000004,218.26000000000005,198.70571428571427,,,223.33,218.36744739249775,203.15974695840487,200.74688113223942,2.4128658261654437,1.0889007146574474,1.3239651115079962
7,223.36000000,227.75000000,213.22000000,223.05000000,548551.87465000,1581206399999,122069507.65511160,257281,277426.26209000,61749990.22004080,2020-02-08 08:00:00,223.05000000000004,223.19000000000008,204.34142857142857,,,223.05,221.48962500000005,207.31053619760448,204.34046621578042,2.9700699818240537,1.540981064953493,1.4290889168705607
8,223.01000000,230.65000000,222.86000000,228.49000000,350336.24399000,1581292799999,79674647.00019990,183735,172523.02255000,39249445.39954730,2020-02-09 08:00:00,228.49000000000007,225.77000000000004,210.06285714285713,,,228.49,226.15677878264407,211.5005879778248,207.9199572757963,3.5806307020285146,2.0121502498718513,1.5684804521566633
9,228.53000000,229.40000000,216.37000000,222.89000000,510415.49949000,1581379199999,113385288.95030170,232617,255575.45007000,56800747.20515700,2020-02-10 08:00:00,222.89000000000004,225.69000000000003,214.80571428571426,,,222.89,223.97888937813303,213.6588771295958,209.98567747298281,3.6731996566129794,2.384321740767597,1.2888779158453825
